row,c0,c1,c2,c3,c4
0,-28019.134962125521,0,13102.474771048019,0,8303.4940031803962
1,28019.134962125521,3.4313543946244687e-12,8.0229518946364556e-13,-13102.474771048019,8303.4940031803962
2,-28019.134962125521,-6.8627087892489373e-12,-13102.474771048019,-1.6045903789272911e-12,8303.4940031803962
3,28019.134962125521,1.0294063183873418e-11,-2.4068855683909375e-12,13102.474771048019,8303.4940031803962
4,-45329.612209551022,0,130888.45818107898,0,-69879.332926159434
5,45329.612209551022,5.5512764499017389e-12,8.0146065678395279e-12,-130888.45818107898,-69879.332926159434
6,-45329.612209551022,-1.1102552899803478e-11,-130888.45818107898,-1.6029213135679056e-11,-69879.332926159434
7,45329.612209551022,1.6653829349705218e-11,-2.4043819703518594e-11,130888.45818107898,-69879.332926159434
8,-29750.189597468965,0,-3590.4077261512684,0,11301.768582272864
9,27221.518384617852,4481.3102991148053,4382.8670721699909,-12312.298856387357,9685.0064403828783
10,-21328.081158408819,-5.900034576480121e-12,-23664.563705087152,-3.8550063821632877e-12,-3285.7511410339166
11,27221.518384617852,-4481.3102991147916,4382.8670721699891,12312.298856387362,9685.0064403828765
12,-91824.249808320266,0,124597.47567560981,0,10651.741674411132
13,35599.156861824798,44766.489226768434,53468.412697778571,-122994.91829880489,-53025.689883117324
14,-7690.7706385479432,-4.9506732577678752e-12,-75935.276440442831,-1.8859830034673765e-11,-135071.71886517236
15,35599.156861824798,-44766.489226768412,53468.412697778549,122994.91829880489,-53025.689883117346
